TargetWord|Meaning|IPA|Part_of_Speech|Gender|Morphology|Nuance|ContextSentences|ContextTranslation|Etymology|Mnemonic|Analogues|Image|Tags
liturgy|Литургия — установленный порядок богослужения и церемоний.|/ˈlɪtərdʒi/|Noun|none|Pl: liturgies|Официальная форма публичного богослужения в христианских традициях.|1. The <b>liturgy</b> began with a procession and incense.<br>2. Many congregations adapt the <b>liturgy</b> to local languages.<br>3. She studied the history of Eastern Christian <b>liturgy</b>.|1. Литургия началась с процессии и кадила.<br>2. Многие приходы адаптируют литургию на местные языки.<br>3. Она изучала историю восточно-христианской литургии.|От греч. leitourgia — общественное служение, «работа народа».|Представь «литр» (litur) вина на алтаре — это начало <b>liturgy</b>.|service, rite|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20church%20altar%20liturgy?width=320&height=200&nologo=true">|EN B2 Theology
sacrament|Таинство — священный обряд, в котором проявляется божественная благодать.|/ˈsækrəmənt/|Noun|none|Pl: sacraments|Ключевое понятие в христианских конфессиях, разное число таинств у разных традиций.|1. The priest administered the <b>sacrament</b> to the faithful.<br>2. Baptism is the first <b>sacrament</b> in many churches.<br>3. Debates about the nature of the <b>sacrament</b> continued for centuries.|1. Священник совершил таинство перед верующими.<br>2. Крещение — первое таинство во многих церквях.<br>3. Споры о природе таинства длились веками.|От лат. sacramentum — священное обещание, жертвенный обряд.|Ассоциация: «sacred» (священный) → <b>sacrament</b>.|rite, ordinance|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20chalice%20and%20bread%20sacrament?width=320&height=200&nologo=true">|EN B2 Theology
ordination|Рукоположение — обряд присвоения церковного сана, назначение на служение.|/ˌɔːrdɪˈneɪʃən/|Noun|none|Pl: ordinations|Процесс введения в духовный сан; юридический и сакраментальный аспект.|1. After his <b>ordination</b> he served as a parish vicar.<br>2. The <b>ordination</b> ceremony included the laying on of hands.<br>3. Debates about female <b>ordination</b> remain contentious.|1. После рукоположения он служил приходским викарием.<br>2. В обряде рукоположения присутствовало возложение рук.<br>3. Дебаты о рукоположении женщин остаются спорными.|От лат. ordinatio — порядок, назначение.|«Order» → ordination: вступление в церковный порядок.|consecration, commissioning|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20bishop%20laying%20hands%20ordination?width=320&height=200&nologo=true">|EN B2 Church
monasticism|Монашество — образ жизни, основанный на аскезе и общинном посвящении Богу.|/məˈnæstɪsɪzəm/|Noun|none|Pl: none|Подразделяется на отшельничество и общежитие; центрально для монашеской теологии.|1. He abandoned secular life and embraced <b>monasticism</b>.<br>2. <b>Monasticism</b> shaped medieval education and manuscript preservation.<br>3. The rules of <b>monasticism</b> vary between orders.|1. Он оставил мирскую жизнь и принял монашество.<br>2. Монашество сформировало средневековое образование и сохранение рукописей.<br>3. Правила монашества различаются между орденами.|От греч. monachos — одиночный, одинокий.|Mono (один) → монахи → <b>monasticism</b>.|asceticism, cenobitism|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20monastery%20cloister%20monasticism?width=320&height=200&nologo=true">|EN B2 Church
clergy|Духовенство — священнослужители как коллектив; пастыри и служители общины.|/ˈklɜːrdʒi/|Noun|none|Collective|Термин для священников, диаконов, монахов; может быть использован множественно и единственно как масса.|1. The <b>clergy</b> gathered for the synod.<br>2. Relations between the <b>clergy</b> and laity were reformed.<br>3. He joined the <b>clergy</b> after theological studies.|1. Духовенство собрало синод.<br>2. Отношения между духовенством и мирянами были реформированы.<br>3. Он вступил в духовенство после богословских исследований.|От старофр. clergie, от лат. clericus — человек, посвящённый церкви.|Clergy — «clear» conscience, служение людям. (мнемоника)|priests, clergymen|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20group%20of%20priests%20clergy?width=320&height=200&nologo=true">|EN B2 Church
theology|Теология — изучение природы Бога, религии и религиозной веры.|/θiˈɒlədʒi/|Noun|none|Pl: theologies|Академическая дисциплина; включает систематику, моральную теологию, историческую теологию.|1. She published a book on feminist <b>theology</b>.<br>2. Comparative <b>theology</b> examines different religious claims.<br>3. Students of <b>theology</b> study scripture, tradition and reason.|1. Она опубликовала книгу по феминистской теологии.<br>2. Сравнительная теология изучает различные религиозные утверждения.<br>3. Студенты теологии изучают Писание, традицию и разум.|От греч. theos (Бог) + logos (слово, учение).|theo (Бог) + логика → <b>theology</b>.|doctrine, divinity studies|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20books%20and%20cross%20theology?width=320&height=200&nologo=true">|EN B2 Academic
dogma|Догма — официальное религиозное положение, обязательное для верующих.|/ˈdɒɡmə/|Noun|none|Pl: dogmas/dogmata|Часто имеет авторитетный и неизменный смысл в рамках конфессии; иногда используется в негативном смысле.|1. The council defined the <b>dogma</b> regarding the incarnation.<br>2. He challenged the prevailing <b>dogma</b> and faced criticism.<br>3. Some people view any fixed <b>dogma</b> as restrictive.|1. Совет утвердил догму, касающуюся воплощения.<br>2. Он оспорил господствующую догму и столкнулся с критикой.<br>3. Некоторые считают, что любая фиксированная догма ограничивающая.|От греч. dogma — мнение, решение, установленное учение.|Dogma — «dog» + «ma» — запомнить через «собаку, охраняющую истину» (мнемоника).|doctrine, tenet|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20ancient%20council%20dogma?width=320&height=200&nologo=true">|EN C1 Theology
catechism|Катехизис — краткое изложение основных элементов вероучения, предназначенное для наставления.|/ˈkætəˌkɪzəm/|Noun|none|Pl: catechisms|Используется в обучении мирян; форма вопросов и ответов в традиции катехизации.|1. The children learned the <b>catechism</b> before their confirmation.<br>2. The old <b>catechism</b> was revised to reflect pastoral concerns.<br>3. He quoted the <b>catechism</b> to explain core beliefs.|1. Дети выучили катехизис перед конфирмацией.<br>2. Старый катехизис был пересмотрен с пастырских соображений.<br>3. Он процитировал катехизис, чтобы объяснить главные убеждения.|От греч. katechein — инструктировать устно.|Катехизис — «кате» (каталог) веры; кратко и по пунктам.|primer, creed summary|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20book%20with%20questions%20catechism?width=320&height=200&nologo=true">|EN C1 Church
exegesis|Экзегеза — критическое толкование священных текстов, особенно Библии.|/ˌɛksɪˈdʒiːsɪs/|Noun|none|Pl: exegeses|Практика академической интерпретации текста; отличается от простого комментария.|1. Biblical <b>exegesis</b> requires knowledge of ancient languages.<br>2. His <b>exegesis</b> of the passage revealed new historical insights.<br>3. Different schools of <b>exegesis</b> produce divergent readings.|1. Библейская экзегеза требует знания древних языков.<br>2. Его экзегеза отрывка выявила новые исторические детали.<br>3. Разные школы экзегезы дают расходящиеся толкования.|От греч. exēgēsis — объяснение, толкование.|«Ex–» (out) + «egesis» (lead) → вывести смысл; вывести значение текста.|interpretation, commentary|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20open%20ancient%20manuscript%20exegesis?width=320&height=200&nologo=true">|EN C1 Academic
hermeneutics|Герменевтика — теория и метод интерпретации текстов, особенно религиозных.|/hɜːrməˈnjuːtɪks/|Noun|none|Pl: hermeneutics|Философский и методологический раздел интерпретации; ключевая дисциплина для теологов и философов.|1. Modern <b>hermeneutics</b> addresses context, reader and text.<br>2. She teaches <b>hermeneutics</b> at the divinity school.<br>3. Debates in <b>hermeneutics</b> influence scriptural authority.|1. Современная герменевтика учитывает контекст, читателя и текст.<br>2. Она преподаёт герменевтику в богословском факультете.<br>3. Дебаты в герменевтике влияют на авторитет Писания.|От греч. hermēneutikos — объясняющий; связано с богом-переводчиком Гермесом.|Hermes — посредник: герменевтика посредник между текстом и читателем.|interpretive theory, exegesis theory|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20philosophy%20books%20hermeneutics?width=320&height=200&nologo=true">|EN C2 Philosophy
transubstantiation|Трансубстанциация — учение о превращении хлеба и вина в тело и кровь Христа (в католической доктрине).|/ˌtrænsəbˌstænʃiˈeɪʃən/|Noun|none|Pl: none|Специфический догмат католицизма; предмет богословских дебатов в истории церкви.|1. The doctrine of <b>transubstantiation</b> was affirmed at the Fourth Lateran Council.<br>2. Protestants rejected the doctrine of <b>transubstantiation</b> during the Reformation.<br>3. The debate over <b>transubstantiation</b> shaped Eucharistic theology.|1. Доктрина трансубстациации была утверждена на Четвёртом Латеранском соборе.<br>2. Протестанты отвергли учение о трансубстациации во время Реформации.<br>3. Дебаты о трансубстациации сформировали евхаристическую теологию.|Лат. trans- (через, перемена) + substantia (сущность).|trans + substance → смена сущности = <b>transubstantiation</b>.|Eucharistic doctrine, change of substance|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20chalice%20and%20host%20transubstantiation?width=320&height=200&nologo=true">|EN C2 Doctrine
eschatology|Эсхатология — учение о последних вещах: смерти, суде, воскресении и конце света.|/ˌɛskəˈtɒlədʒi/|Noun|none|Pl: eschatologies|Раздел догматики, связанный с надеждами и страхами о финале истории.|1. Christian <b>eschatology</b> includes various models of the end times.<br>2. His research focused on medieval <b>eschatology</b> and apocalyptic literature.<br>3. Questions of <b>eschatology</b> influence ethical priorities.|1. Христианская эсхатология включает различные модели конца времен.<br>2. Его исследования сосредоточены на средневековой эсхатологии и апокалиптической литературе.<br>3. Вопросы эсхатологии влияют на этические приоритеты.|От греч. eschatos — крайний, последний + logos — учение.|Eschatos — «последний» → <b>eschatology</b> изучает конец.|end-times doctrine, last things|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20apocalypse%20book%20eschatology?width=320&height=200&nologo=true">|EN C2 Theology
asceticism|Аскетизм — практика строгого воздержания и самоограничения ради духовных целей.|/əˈsɛtɪsɪzəm/|Noun|none|Pl: asceticisms|Связан с молитвой, постом, отказом от материальных удобств; важен в монашеских традициях.|1. Early monks practiced severe <b>asceticism</b> in desert hermitages.<br>2. Modern spiritual movements debate the role of <b>asceticism</b> today.<br>3. His commitment to <b>asceticism</b> shaped his writings.|1. Ранние монахи практиковали суровый аскетизм в пустынных отшельничествах.<br>2. Современные духовные движения обсуждают роль аскетизма сегодня.<br>3. Его приверженность аскетизму сформировала его труды.|От греч. askēsis — упражнение, тренировка.|Ask + sis — тренировка духа → <b>asceticism</b>.|self-denial, austerity|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20monk%20in%20cell%20asceticism?width=320&height=200&nologo=true">|EN C2 Spiritual
hagiography|Агиография — жизнеописание святых и их подвигов; жанр церковной литературы.|/ˌhædʒiˈɒɡrəfi/|Noun|none|Pl: hagiographies|Часто идеализированное повествование; важный источник для изучения церковной памяти.|1. Medieval <b>hagiography</b> often blended history and miracle stories.<br>2. He analyzed the <b>hagiography</b> of a local saint.<br>3. Critics warn against uncritical reading of <b>hagiography</b>.|1. Средневековая агиография часто сочетала историю и чудеса.<br>2. Он проанализировал агиографию местного святого.<br>3. Критики предупреждают против некритичного чтения агиографии.|От греч. hagios — святой + graphe — писание.|Hagiography = «holy writing» → служит памяти святых.|saints' lives, vitae|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20saint%20manuscript%20hagiography?width=320&height=200&nologo=true">|EN C1 History
